ind,file_id,№sint,type,content,start,end
1,0001R,1,01,юрий	трифонов,0.0,1.24
2,0002R,1,01,обмен,0.0,0.723
3,0003R,1,12,в	июле,0.0,0.563
4,0003R,2,12,мать	дмитриева	ксения	федоровна,0.563,2.797
5,0003R,3,10,тяжело	заболела,2.876,4.11
6,0003R,4,10,и	ее	отвезли	в	боткинскую,4.635,6.535
7,0003R,5,13,где	она	пролежала	двенадцать	дней,6.823,8.865
8,0003R,6,01a,с	подозрением	на	самое	худшее,9.284,11.252
9,0004R,1,10,в	сентябре	сделали	операцию,0.0,1.876
10,0004R,2,10,худшее	подтвердилось,2.358,3.829
11,0004R,3,02,но	ксения	федоровна,4.52,5.777
12,0004R,4,13,считавшая	что	у	нее	язвенная	болезнь,6.083,8.514
13,0004R,5,02,почувствовала	улучшение,8.795,10.461
14,0004R,6,12,стала	вскоре	ходить,11.002,12.352
15,0004R,7,10,и	в	октябре	ее	отправили	домой,12.914,14.844
16,0004R,8,13,пополневшую,15.263,16.233
17,0004R,9,12,и	твердо	уверенную	в	том,16.605,18.123
18,0004R,10,01a,что	дело	идет	на	поправку,18.393,20.172
19,0005R,1,02,вот	именно	тогда,0.0,1.15
20,0005R,2,12,когда	ксения	федоровна	вернулась	из	больницы,1.398,4.094
21,0005R,3,10,жена	дмитриева	затеяла	обмен,4.664,7.037
22,0005R,4,12,решила	срочно	съезжаться	со	свекровью,7.623,10.114
23,0005R,5,13,жившей	одиноко	в	хорошей,10.504,12.222
24,0005R,6,12,двадцатиметровой	комнате,12.296,13.979
25,0005R,7,01,на	профсоюзной	улице,14.106,15.67
26,0006R,1,12,разговоры	о	том	чтобы	соединиться	с	матерью,0.0,2.587
27,0006R,2,02,дмитриев	начинал	и	сам,2.861,4.404
28,0006R,3,01a,делал	это	не	раз,4.91,6.178
29,0007R,1,13,но	то	было	давно,0.0,1.059
30,0007R,2,12,во	времена,1.468,2.071
31,0007R,3,12,когда	отношения	лены	с	ксенией	федоровной,2.071,4.506
32,0007R,4,13,еще	не	отчеканились,4.874,6.113
33,0007R,5,12,в	формы	такой	окостеневшей	и	прочной	вражды,6.113,8.709
34,0007R,6,02,что	произошло	теперь,9.19,10.544
35,0007R,7,12,после	четырнадцати	лет,10.867,12.305
36,0007R,8,01a,супружеской	жизни	дмитриева,12.539,14.371
37,0008R,1,02,всегда	он	наталкивался	на	твердое	сопротивление	лены,0.0,3.257
38,0008R,2,12,и	с	годами,3.736,4.555
39,0008R,3,01a,идея	стала	являться	все	реже,4.555,6.621
40,0009R,1,12,и	то	лишь,0.0,0.597
41,0009R,2,02,в	минуты	раздражения,0.597,1.906
42,0010R,1,12,она	превратилась	в	портативное,0.0,1.905
43,0010R,2,12,и	удобное,1.905,2.771
44,0010R,3,12,всегда	при	себе,2.963,3.971
45,0010R,4,02,оружие	для	мелких	семейных	стычек,4.468,6.805
46,0011R,1,12,когда	дмитриеву	хотелось	за	что-то	уколоть	лену,0.0,3.087
47,0011R,2,12,обвинить	ее	в	эгоизме	или	в	черствости,3.431,5.924
48,0011R,3,10,он	говорил,6.187,6.964
49,0011R,4,02,вот	поэтому	ты	и	с	матерью	моей,7.604,9.509
50,0011R,5,02,не	хочешь	жить,9.509,10.358
51,0012R,1,12,когда	же	потребность	съязвить	или	надавить	на	больное	возникала	у	лены,0.0,4.032
52,0012R,2,10,она	говорила,4.561,5.442
53,0012R,3,02,вот	поэтому	я	и	с	матерью	твоей	жить	не	могу,6.07,8.845
54,0012R,4,02,и	никогда	не	стану,9.026,10.192
55,0012R,5,12,потому	что	ты,10.596,11.524
56,0012R,6,10,вылитая	она,11.914,13.042
57,0012R,7,12,а	с	меня	хватит,13.506,14.559
58,0012R,8,01,одного	тебя,14.742,15.649
59,0013R,1,02b,когда-то	все	это	дергало,0.0,1.643
60,0013R,2,02,мучило	дмитриева,1.892,3.173
61,0014R,1,11b,из-за	матери,0.0,0.876
62,0014R,2,10,у	него	бывали	жестокие	перепалки	с	женой,1.277,3.834
63,0014R,3,12,он	доходил	до	дикого	озлобления,4.385,6.463
64,0014R,4,13,из-за	какого-нибудь	ехидного	словца,6.463,8.492
65,0014R,5,02,сказанного	леной,8.728,9.823
66,0014R,6,11b,из-за	жены,10.513,11.265
67,0014R,7,10,пускался	в	тягостные	выяснения	отношений	с	матерью,11.852,15.047
68,0014R,8,12,чего	мать,15.384,16.369
69,0014R,9,01a,не	разговаривала	с	ним	по	нескольку	дней,16.778,19.205
70,0015R,1,02b,он	упрямо	пытался	сводить,0.0,1.942
71,0015R,2,02b,мирить,2.178,2.859
72,0015R,3,02b,селил	вместе	на	даче,3.283,4.938
73,0015R,4,02b,однажды	купил	обеим	путевки	на	рижское	взморье,5.388,8.443
74,0015R,5,13,но	ничего	путного	из	всего	этого,8.978,11.285
75,0015R,6,01a,не	выходило,11.472,12.391
76,0016R,1,02,какая-то	преграда,0.0,1.176
77,0016R,2,10,стояла	между	двумя	женщинами,1.176,3.057
78,0016R,3,12,и	преодолеть	ее	они,3.483,4.955
79,0016R,4,01a,не	могли,5.126,5.81
80,0017R,1,11b,почему	так	было,0.0,1.11
81,0017R,2,10,он	не	понимал,1.411,2.318
82,0017R,3,01c,хотя	раньше	задумывался	часто,2.896,4.968
83,0018R,1,03,почему,0.0,0.486
84,0018R,2,02b,две	интеллигентные,0.486,1.725
85,0018R,3,11b,всеми	уважаемые	женщины,1.725,3.562
86,0018R,4,11,ксения	федоровна	работала	старшим	библиографом,3.778,6.392
87,0018R,5,02,одной	крупной	академической	библиотеки,6.392,8.486
88,0018R,6,02,а	лена	занималась	переводами	английских	технических	текстов,8.966,12.459
89,0018R,7,13,и	как	говорили,12.805,13.686
90,0018R,8,11b,была	отличной	переводчицей,13.985,15.803
91,0018R,9,12,даже	участвовала	в	составлении	какого-то	специального	учебника,16.081,19.6
92,0018R,10,10,по	переводу,19.6,20.414
93,0018R,11,03,почему,20.979,21.69
94,0018R,12,10,две	хорошие	женщины,22.134,23.671
95,0018R,13,02,горячо	любившие	дмитриева,24.017,25.822
96,0018R,14,11,тоже	хорошего	человека,25.953,27.561
97,0018R,15,12,и	его	дочь	наташку,27.981,29.358
98,0018R,16,13,упорно	лелеяли	в	себе	твердевшую	с	годами,29.756,32.78
99,0018R,17,02,взаимную	неприязнь,33.011,34.411
100,0019R,1,02b,мучился,0.0,0.86
101,0019R,2,02b,изумлялся,1.163,2.104
102,0019R,3,02b,ломал	себе	голову,2.503,3.747
103,0019R,4,12,но	потом,4.172,4.878
104,0019R,5,01a,привык,5.084,5.734
105,0020R,1,10,привык	оттого	что	увидел,0.0,1.731
106,0020R,2,12,что	то	же,2.102,2.902
107,0020R,3,10,у	всех,3.072,3.751
108,0020R,4,11,и	все,4.284,4.832
109,0020R,5,01a,привыкли,5.275,5.964
110,0021R,1,11,и	успокоился	на	той	истине,0.0,1.856
111,0021R,2,12,что	нет	в	жизни,2.233,3.21
112,0021R,3,12,ничего	более	мудрого	и	ценного,3.21,5.072
113,0021R,4,10,чем	покой,5.072,6.014
114,0021R,5,12,и	его-то,6.603,7.363
115,0021R,6,01a,нужно	беречь	изо	всех	сил,7.73,9.8
116,0022R,1,12,поэтому	когда	лена	вдруг	заговорила	об	обмене	с	маркушевичами,0.0,3.608
117,0022R,2,02b,поздним	вечером,3.953,4.887
118,0022R,3,11b,давно	отужинали,4.887,5.85
119,0022R,4,13,наташка	спала,5.85,6.809
120,0022R,5,01b,дмитриев	испугался,7.394,8.974
121,0023R,1,03a,кто	такие	маркушевичи,0.0,1.64
122,0024R,1,08,откуда	она	их	взяла,0.0,1.294
123,0024R,2,nouse,,1.294,2.168
124,0025R,1,01c,двухкомнатная	квартира	на	малой	грузинской,0.0,2.63
125,0026R,1,12,он	понял	тайную,0.0,1.49
126,0026R,2,10,и	простую	мысль	лены,1.49,3.289
127,0026R,3,13,от	этого	понимания,4.055,5.251
128,0026R,4,10,испуг	проник	в	его	сердце,5.689,7.559
129,0026R,5,12,и	он	побледнел,8.122,9.143
130,0026R,6,12,сник,9.64,10.216
131,0026R,7,01,не	мог	поднять	глаз	на	лену,10.735,12.565
132,0027R,1,13,так	как	он	молчал,0.0,1.24
133,0027R,2,02,лена	продолжала,1.489,2.616
134,0027R,3,11,материнская	комната	на	профсоюзной,3.48,5.626
135,0027R,4,10,им	понравится	наверняка,5.727,7.219
136,0027R,5,10,она	их	устроит	географически,7.906,9.831
137,0027R,6,12,потому	что	жена	маркушевича,10.276,11.794
138,0027R,7,02,работает	где-то	возле	калужской	заставы,11.794,14.165
139,0027R,8,11b,а	вот	к	их	собственной	комнате,15.061,16.87
140,0027R,9,02,потребуется	наверно	доплата,17.185,19.071
141,0028R,1,02,иначе	не	заинтересуешь,0.0,1.462
142,0029R,1,13,можно	конечно	попробовать	обменять	их	комнату,0.0,2.664
143,0029R,2,02,на	что-то	более	стоящее,2.664,4.279
144,0029R,3,02,будет	тройной	обмен,4.773,6.105
145,0029R,4,01a,это	не	страшно,6.502,7.463
146,0030R,1,01a,надо	действовать	энергично,0.0,1.736
147,0031R,1,11,каждый	день,0.0,0.766
148,0031R,2,01a,что-то	делать,0.766,1.693
149,0032R,1,02,лучше	всего	найти	маклера,0.0,1.686
150,0033R,1,13,у	люси,0.0,0.592
151,0033R,2,10,есть	знакомый	маклер,0.592,1.764
152,0033R,3,10,старичок,1.985,2.712
153,0033R,4,01b,очень	милый,2.91,3.726
154,0034R,1,11,он	правда	никому	не	дает	своего	адреса	и	телефона,0.0,2.981
155,0034R,2,02,а	появляется	сам,3.354,4.409
156,0034R,3,12,как	снег	на	голову,4.409,5.543
157,0034R,4,02,такой	конспиратор,5.775,6.809
158,0034R,5,10,но	у	люси	он	должен	скоро	появиться,7.284,9.509
159,0034R,6,01c,она	ему	задолжала,9.859,11.104
160,0035R,1,02,это	закон,0.0,0.816
161,0035R,2,01a,никогда	нельзя	давать	им	деньги	вперед,1.262,3.534
162,0036R,1,01b,разговаривая	лена	стелила	постель,0.0,2.201
163,0037R,1,10,он	никак	не	мог	посмотреть	ей	в	глаза,0.0,2.202
164,0037R,2,02,теперь	он	хотел	этого,2.936,4.318
165,0037R,3,02b,но	лена	стояла	к	нему	то	боком,5.276,7.22
166,0037R,4,02b,то	спиной,7.528,8.315
167,0037R,5,11b,когда	же	она	повернулась,9.092,10.554
168,0037R,6,11,и	он	взглянул	ей	прямо	в	глаза,10.554,12.295
169,0037R,7,02b,близорукие,12.654,13.486
170,0037R,8,12,с	расширенными	от	вечернего	чтения	зрачками,13.486,16.051
171,0037R,9,01a,увидел	решимость,16.604,18.416
172,0038R,1,02,наверно	готовилась	к	разговору	давно,0.0,2.187
173,0038R,2,11,может	с	первого	дня,2.497,3.569
174,0038R,3,01a,как	узнала	о	болезни	матери,3.569,5.255
175,0039R,1,01a,тогда	же	ее	и	осенило,0.0,1.692
176,0040R,1,02,и	пока	он	подавленный	ужасом,0.0,1.764
177,0040R,2,02b,носился	по	врачам,1.764,3.05
178,0040R,3,02b,звонил	в	больницы,3.271,4.558
179,0040R,4,02b,устраивал,4.808,5.633
180,0040R,5,02b,терзался,5.801,6.744
181,0040R,6,12,она	обдумывала,7.267,8.584
182,0040R,7,01c,соображала,8.972,9.872
183,0041R,1,02,и	вот	нашла	каких-то	маркушевичей,0.0,2.1
184,0042R,1,02,странно,0.0,0.634
185,0042R,2,13,он	не	испытывал	сейчас	ни	гнева,1.144,3.255
186,0042R,3,01b,ни	боли,3.574,4.239
187,0043R,1,12,мелькнуло	только,0.0,1.023
188,0043R,2,02,о	беспощадности	жизни,1.101,2.754
189,0044R,1,10,лена	тут	ни	при	чем,0.0,1.389
190,0044R,2,10,она	была	частью	этой	жизни,2.092,4.082
191,0044R,3,01a,частью	беспощадности,4.609,6.316
192,0045R,1,02,кроме	того,0.0,0.756
193,0045R,2,11,можно	ли	сердиться	на	человека,1.202,3.031
194,0045R,3,02,лишенного	к	примеру	музыкального	слуха,3.291,5.655
195,0046R,1,11,лену	всегда	отличала,0.0,1.401
196,0046R,2,11,некоторая	душевная,1.401,2.684
197,0046R,3,02,нет,2.97,3.332
198,0046R,4,02,не	глухота,3.332,4.092
199,0046R,5,02,чересчур	сильно,4.092,5.117
200,0046R,6,02,некоторая	душевная	неточность,5.743,7.745
201,0046R,7,11b,и	это	свойство,8.385,9.242
202,0046R,8,11b,еще	обострялось,9.242,10.244
203,0046R,9,02,когда	вступало	в	действие	другое	сильнейшее	качество	лены,10.55,14.29
204,0046R,10,01,умение	добиваться	своего,14.804,16.558
205,0047R,1,13,он	зацепился	за	то,0.0,1.223
206,0047R,2,02,что	было	вблизи,1.223,2.286
207,0047R,3,10,зачем	нужен	маклер,3.205,4.628
208,0047R,4,13,если	квартира	на	малой	грузинской,4.844,6.729
209,0047R,5,02,уже	найдена,6.729,7.545
210,0048R,1,02,маклер	нужен	если	придется	менять	их	комнату,0.0,2.742
211,0049R,1,02,и	вообще,0.0,0.583
212,0049R,2,02,чтоб	ускорить	весь	процесс,0.583,2.07
213,0050R,1,12,она	не	заплатит	ему	ни	копейки	до	тех	пор,0.0,2.591
214,0050R,2,01a,пока	не	получит	ордер	на	руки,2.853,4.849
215,0051R,1,11,стоит	это,0.0,0.666
216,0051R,2,10,не	так	уж	дорого,0.666,1.702
217,0051R,3,10,рублей	сто,1.948,2.769
218,0051R,4,01a,максимум	полтораста,3.142,4.494
219,0052R,1,01a,так	и	есть,0.0,0.799
220,0053R,1,11b,его	мрачность,0.0,1.022
221,0053R,2,01c,она	расценила	по-своему,1.111,2.571
222,0054R,1,05,какая	тонкая	душа,0.0,1.497
223,0054R,2,05,какой	психолог,1.758,2.962
224,0055R,1,11,он	сказал	что	лучше	бы,0.0,1.271
225,0055R,2,02,она	подождала,1.271,2.175
226,0055R,3,02,пока	он	начнет	этот	разговор	сам,2.175,4.088
227,0055R,4,11,а	не	начнет,4.836,5.582
228,0055R,5,02,значит	не	нужно,5.868,6.907
229,0055R,6,02,нельзя,7.101,7.76
230,0055R,7,02,не	об	этом	сейчас	надо	думать,8.106,9.8
231,0056R,1,04a,витя,0.0,0.461
232,0056R,2,01b,я	понимаю,0.461,1.358
233,0057R,1,04b,прости	меня,0.0,0.85
234,0057R,2,09,сказала	лена	с	усилием,0.956,2.397
235,0057R,3,12a,но,2.628,3.019
236,0058R,1,11,он	видел,0.0,0.57
237,0058R,2,11b,что	ей	очень	трудно,0.57,1.679
238,0058R,3,10,и	все-таки	она	договорит	до	конца,1.679,3.519
239,0058R,4,12,во-первых,4.851,5.611
240,0058R,5,02,ты	уже	начинал	этот	разговор,5.781,7.342
241,0058R,6,07,правда	же,7.342,7.949
